Modalidade;FonteFinanciamento;Repasse;Porcentagem
ENSINO A DISTANCIA;APRENDA MAIS;EAD;0.25
ENSINO A DISTANCIA;E-TEC;EAD;0.25
ENSINO A DISTANCIA;MEDIOTEC;EAD;0.25
ENSINO A DISTANCIA;OUTROS MOOC;EAD MOOC;0.08
ENSINO A DISTANCIA;OUTROS RECURSOS EXTERNOS;EAD;0.25
ENSINO A DISTANCIA;PROGRAMA EJA INTEGRADA - EPT  (SEB/MEC);EAD;0.25
ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;EAD FP;0.8
ENSINO A DISTANCIA;UAB;EAD;0.25
ENSINO PRESENCIAL;MEDIOTEC;PRESENCIAL;1
ENSINO PRESENCIAL;OUTROS RECURSOS EXTERNOS;PRESENCIAL;1
ENSINO PRESENCIAL;PROGRAMA EJA INTEGRADA - EPT  (SEB/MEC);PRESENCIAL;1
ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;PRESENCIAL;1
