Sigla;Instituicao;UF;ConclusaoCiclo;EvasaoCiclo;RetencaoCiclo;EficienciaAcademica
IFAC;INSTITUTO FEDERAL DO ACRE;AC;0.4472;0.4445;0.1083;0.5015
IFAL;INSTITUTO FEDERAL DE ALAGOAS;AL;0.4993;0.419;0.0817;0.5437
IFAM;INSTITUTO FEDERAL DO AMAZONAS;AM;0.4546;0.2723;0.2732;0.6254
IFAP;INSTITUTO FEDERAL DO AMAPA;AP;0.3695;0.4709;0.1596;0.4397
IFBA;INSTITUTO FEDERAL BAIANO;BA;0.4392;0.4915;0.0692;0.4719
IF BAIANO;INSTITUTO FEDERAL DA BAHIA;BA;0.3228;0.5143;0.1628;0.3856
IFCE;INSTITUTO FEDERAL DO CEARA;CE;0.3243;0.5326;0.1431;0.3784
IFB;INSTITUTO FEDERAL DE BRASILIA;DF;0.316;0.6039;0.0802;0.3435
IFES;INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;0.5856;0.3794;0.0351;0.6069
IFG;INSTITUTO FEDERAL DE GOIAS;GO;0.3252;0.4956;0.1792;0.3962
IF GOIANO;INSTITUTO FEDERAL GOIANO;GO;0.4083;0.3965;0.1952;0.5074
IFMA;INSTITUTO FEDERAL DO MARANHAO;MA;0.4771;0.4081;0.1148;0.5389
CEFET-MG;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;0.3362;0.4613;0.2025;0.4216
IFMG;INSTITUTO FEDERAL DE MINAS GERAIS;MG;0.5644;0.3257;0.1099;0.6341
IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;MG;0.5171;0.4289;0.054;0.5466
IF SUDESTE MG;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS;MG;0.4404;0.3449;0.2147;0.5608
IFSULDEMINAS;INSTITUTO FEDERAL DO SUL MINAS GERAIS;MG;0.464;0.4575;0.0785;0.5036
IFTM;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;MG;0.5612;0.3676;0.0712;0.6042
IFMS;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;MS;0.421;0.5022;0.0768;0.456
IFMT;INSTITUTO FEDERAL DE MATO GROSSO;MT;0.6051;0.3501;0.0448;0.6334
IFPA;INSTITUTO FEDERAL DO PARÁ;PA;0.4259;0.52;0.0542;0.4502
IFPB;INSTITUTO FEDERAL DA PARAIBA;PB;0.3814;0.4694;0.1492;0.4483
IFSERTAOPB;INSTITUTO FEDERAL DO SERTAO PARAIBANO;PB;0.4558;0.5034;0.0408;0.4752
IFPE;INSTITUTO FEDERAL DE PERNAMBUCO;PE;0.2417;0.6692;0.0891;0.2654
IF SERTÃO-PE;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;PE;0.3667;0.5433;0.09;0.4029
IFPI;INSTITUTO FEDERAL DO PIAUI;PI;0.5116;0.4397;0.0487;0.5378
IFPR;INSTITUTO FEDERAL DO PARANA;PR;0.3605;0.5833;0.0562;0.3819
CEFET-RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;RJ;0.2878;0.3794;0.3328;0.4314
CPII;COLEGIO PEDRO II;RJ;0.7322;0.2154;0.0524;0.7727
IFF;INSTITUTO FEDERAL DO RIO DE JANEIRO;RJ;0.4018;0.3649;0.2333;0.524
IFRJ;INSTITUTO FEDERAL FLUMINENSE;RJ;0.4573;0.455;0.0876;0.5013
IFRN;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;RN;0.4867;0.4242;0.0891;0.5343
IFRO;INSTITUTO FEDERAL DE RONDONIA;RO;0.4318;0.4657;0.1026;0.4811
IFRR;INSTITUTO FEDERAL DE RORAIMA;RR;0.5347;0.4154;0.0499;0.5628
IF FARROUPILHA;INSTITUTO FEDERAL DO RIO GRANDE DO SUL;RS;0.3291;0.4896;0.1813;0.402
IFRS;INSTITUTO FEDERAL FARROUPILHA;RS;0.4436;0.4982;0.0582;0.471
IFSUL;INSTITUTO FEDERAL SUL-RIO-GRANDENSE;RS;0.3423;0.4985;0.1592;0.4071
IFC;INSTITUTO FEDERAL CATARINENSE;SC;0.4921;0.41;0.0979;0.5455
IFSC;INSTITUTO FEDERAL DE SANTA CATARINA;SC;0.336;0.5367;0.1272;0.385
IFS;INSTITUTO FEDERAL DE SERGIPE;SE;0.4012;0.5419;0.0569;0.4254
IFSP;INSTITUTO FEDERAL DE SAO PAULO;SP;0.4332;0.457;0.1098;0.4866
IFTO;INSTITUTO FEDERAL DE TOCANTINS;TO;0.409;0.4822;0.1088;0.459
