TipoCurso;EixoTecnologico;Curso;FEC
Educação Infantil;Propedêutico;Propedêutico - Educação Infantil-Pré-escola;2.000
Ensino Fundamental I;Propedêutico;Propedêutico - Ensino Fundamental- Anos Iniciais;1.500
Ensino Fundamental II;Propedêutico;Propedêutico - Ensino Fundamental-Anos finais;1.067
Ensino Médio;Propedêutico;Propedêutico - Ensino Médio;1.067
QUALIFICAÇÃO PROFISSIONAL;"""TODOS""";"""TODOS""";1.100
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;1.017
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM ANÁLISES CLÍNICAS;1.500
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM BIOTECNOLOGIA;1.053
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM CITOPATOLOGIA;1.200
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM CONTROLE AMBIENTAL;1.049
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM CUIDADOS DE IDOSOS;1.098
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM ENFERMAGEM;1.500
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS;1.117
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM ESTÉTICA;1.333
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM FARMÁCIA;1.097
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM GERÊNCIA DE SAÚDE;1.000
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM HEMOTERAPIA;1.200
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM IMAGEM PESSOAL;1.200
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM IMOBILIZAÇÕES ORTOPÉDICAS;1.300
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM MASSOTERAPIA;1.500
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM MEIO AMBIENTE;1.020
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM METEOROLOGIA;1.000
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM NECROPSIA;1.200
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM NUTRIÇÃO E DIETÉTICA;1.266
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM ÓPTICA;1.100
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM ÓRTESES E PRÓTESES;1.100
TÉCNICO;AMBIENTE E SAÚDE;TÉCNICO EM PODOLOGIA;1.100
