TipoCurso;EixoTecnologico;Curso;FEC;CHMR
QUALIFICACAO PROFISSIONAL;TODOS;TODOS;1.1;*
TECNICO;AMBIENTE E SAUDE;TECNICO EM AGENTE COMUNITARIO DE SAUDE;1.1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM ANALISES CLINICAS;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM BIOTECNOLOGIA;1.15;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM CITOPATOLOGIA;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM CONTROLE AMBIENTAL;1.16;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM CUIDADOS DE IDOSOS;1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM ENFERMAGEM;1.3;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM EQUIPAMENTOS BIOMEDICOS;1.3;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM ESTETICA;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM FARMACIA;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM GERENCIA DE SAUDE;1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM HEMOTERAPIA;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM IMAGEM PESSOAL;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM IMOBILIZACOES ORTOPEDICAS;1.3;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM MASSOTERAPIA;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM MEIO AMBIENTE;1.08;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM METEOROLOGIA;1.3;1000
TECNICO;AMBIENTE E SAUDE;TECNICO EM NECROPSIA;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM NUTRICAO E DIETETICA;1.1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM OPTICA;1.1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM ORTESES E PROTESES;1.1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM PODOLOGIA;1.1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM PROTESE DENTARIA;1.22;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM RADIOLOGIA;1.1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM REABILITACAO DE DEPENDENTES QUIMICOS;1.2;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM RECICLAGEM;1.1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM REGISTROS E INFORMACOES EM SAUDE;1;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM SAUDE BUCAL;1.3;1200
TECNICO;AMBIENTE E SAUDE;TECNICO EM VIGILANCIA EM SAUDE;1;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM AUTOMACAO INDUSTRIAL;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM ELETROELETRONICA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM ELETROMECANICA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM ELETRONICA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM ELETROTECNICA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO AUTOMOTIVA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO DE AERONAVES EM AVIONICOS;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO DE AERONAVES EM CELULA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO DE AERONAVES EM GRUPO MOTOPROPULSOR;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO DE MAQUINAS INDUSTRIAIS;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO DE MAQUINAS NAVAIS;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO DE MAQUINAS PESADAS;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO DE SISTEMAS METROFERROVIARIOS;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MANUTENCAO METROFERROVIARIA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MAQUINAS NAVAIS;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MECANICA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MECANICA DE PRECISAO;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM MECATRONICA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM METALURGIA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM METROLOGIA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM PROCESSAMENTO DA MADEIRA;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM REFRIGERACAO E CLIMATIZACAO;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM SISTEMAS A GAS;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL;1.27;1200
TECNICO;CONTROLE E PROCESSOS INDUSTRIAIS;TECNICO EM SOLDAGEM;1.27;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM ALIMENTACAO ESCOLAR;1.1;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM BIBLIOTECA;1;800
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM BIBLIOTECONOMIA;1;800
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM INFRAESTRUTURA ESCOLAR;1.05;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM LABORATORIO DE CIENCIAS DA NATUREZA;1.05;800
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM LUDOTECA;1;800
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM MATERIAIS DIDATICOS BILINGUE (LIBRAS/PORTUGUES);1.3;800
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM MULTIMEIOS DIDATICOS;1.05;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM ORIENTACAO COMUNITARIA;1;800
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM PRODUCAO DE MATERIAIS DIDATICOS BILINGUES EM LIBRAS/LINGUA PORTUGUESA;1;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM SECRETARIA ESCOLAR;1;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM TRADUCAO E INTERPRETACAO DE LIBRAS;1.3;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM TREINAMENTO DE CAES-GUIA;1.3;1200
TECNICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TECNICO EM TREINAMENTO E INSTRUCAO DE CAES-GUIAS;1.3;1200
TECNICO;GESTAO E NEGOCIOS;TECNICO EM ADMINISTRACAO;1.1;1000
TECNICO;GESTAO E NEGOCIOS;TECNICO EM COMERCIO;1.01;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM COMERCIO EXTERIOR;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM CONDOMINIO;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM CONTABILIDADE;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM COOPERATIVISMO;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM FINANCAS;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM LOGISTICA;1.02;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM MARKETING;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM QUALIDADE;1.1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM RECURSOS HUMANOS;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM SECRETARIADO;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM SEGUROS;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM SERVICOS DE CONDOMINIO;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM SERVICOS JURIDICOS;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM SERVICOS PUBLICOS;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM TRANSACOES IMOBILIARIAS;1;800
TECNICO;GESTAO E NEGOCIOS;TECNICO EM VENDAS;1;800
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM COMPUTACAO GRAFICA;1.25;1000
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM DESENVOLVIMENTO DE SISTEMAS;1.25;1000
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM INFORMATICA;1.25;1000
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM INFORMATICA PARA INTERNET;1.25;1000
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM MANUTENCAO E SUPORTE EM INFORMATICA;1.25;1000
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM PROGRAMACAO DE JOGOS DIGITAIS;1.25;1000
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM REDES DE COMPUTADORES;1.25;1000
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM SISTEMAS DE COMUTACAO;1.25;1200
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM SISTEMAS DE TRANSMISSAO;1.25;1200
TECNICO;INFORMACAO E COMUNICACAO;TECNICO EM TELECOMUNICACOES;1.25;1200
TECNICO;INFRAESTRUTURA;TECNICO AEROPORTUARIO;1.1;1000
TECNICO;INFRAESTRUTURA;TECNICO EM AGRIMENSURA;1.2;1000
TECNICO;INFRAESTRUTURA;TECNICO EM CARPINTARIA;1.3;1200
TECNICO;INFRAESTRUTURA;TECNICO EM DESENHO DE CONSTRUCAO CIVIL;1.2;1200
TECNICO;INFRAESTRUTURA;TECNICO EM EDIFICACOES;1.3;1200
TECNICO;INFRAESTRUTURA;TECNICO EM ESTRADAS;1.3;1200
TECNICO;INFRAESTRUTURA;TECNICO EM GEODESIA E CARTOGRAFIA;1.2;1200
TECNICO;INFRAESTRUTURA;TECNICO EM GEOPROCESSAMENTO;1.2;1200
TECNICO;INFRAESTRUTURA;TECNICO EM HIDROLOGIA;1.2;1200
TECNICO;INFRAESTRUTURA;TECNICO EM PORTOS;1.1;1000
TECNICO;INFRAESTRUTURA;TECNICO EM SANEAMENTO;1.2;1200
TECNICO;INFRAESTRUTURA;TECNICO EM TRANSITO;1.3;1000
TECNICO;INFRAESTRUTURA;TECNICO EM TRANSPORTE AQUAVIARIO;1.1;1000
TECNICO;INFRAESTRUTURA;TECNICO EM TRANSPORTE DE CARGAS;1.1;1000
TECNICO;INFRAESTRUTURA;TECNICO EM TRANSPORTE DUTOVIARIO;1.1;1000
TECNICO;INFRAESTRUTURA;TECNICO EM TRANSPORTE METROFERROVIARIO;1.1;1200
TECNICO;INFRAESTRUTURA;TECNICO EM TRANSPORTE RODOVIARIO;1.1;1000
TECNICO;PRODUCAO ALIMENTICIA;TECNICO EM AGROINDUSTRIA;1.15;1200
TECNICO;PRODUCAO ALIMENTICIA;TECNICO EM ALIMENTOS;1.2;1200
TECNICO;PRODUCAO ALIMENTICIA;TECNICO EM APICULTURA;1.15;1200
TECNICO;PRODUCAO ALIMENTICIA;TECNICO EM CERVEJARIA;1.15;1200
