Instituicao;UF;Campus;AnoCriacaoCampus;MatriculaTotalPresencialEqualizada;MatriculaTotalEadEqualizada;MatriculaTotalEadMoocEqualizada;MatriculaTotalEadFpEqualizada
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS AVANÇADO RIO BRANCO BAIXADA DO SOL;2021;1175.629365;0;0;0
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS CRUZEIRO DO SUL;2010;2834.032462;0;0;0
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS RIO BRANCO;2010;3048.504099;35.263956;0;0
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS SENA MADUREIRA;2010;1496.859657;47.887226;0;0
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS TARAUACÁ;2013;1832.596491;0;0;0
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS XAPURI;2013;1477.356295;0;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS ARAPIRACA;2010;1873.516498;80.378691;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS AVANÇADO MACEIÓ BENEDITO BENTES;2016;705.316857;0;0;1.022303
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS BATALHA;2014;1427.566491;0;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS CORURIPE;2014;1394.138373;35.036452;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MACEIÓ;2013;9616.824273;255.963066;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MARAGOGI;2013;1629.346999;377.65595;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MARECHAL DEODORO;2013;1908.933708;0;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MURICI;2015;2398.705064;365.042075;0;49.045383
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS PALMEIRA DOS ÍNDIOS;2013;3782.167527;379.798854;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS PENEDO;2010;1551.638266;445.107048;0;23.451092
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS PIRANHAS;2013;3721.34475;317.703744;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS RIO LARGO;2014;349.422578;0;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS SANTANA DO IPANEMA;2013;1629.293036;386.920515;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS SÃO MIGUEL DOS CAMPOS;2013;1158.914203;0;0;3.428571
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS SATUBA;2013;3447.09145;0;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS UNIAO DOS PALMARES;0;0;0;0;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS VIÇOSA;2014;644.573802;302.374348;0;0
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS AVANÇADO BOCA DO ACRE;2018;266.881939;0;0;0
