Instituicao;UF;Custeio2027Oficial;Assistencia2027Oficial;Total2027Oficial;Custeio2027BaseOficial;Assistencia2027BaseOficial
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;RJ;41638338.870000;10859298.620000;52497637.490000;39197123.828610;10859298.622000
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;50530583.970000;10289582.860000;60820166.830000;38735665.673870;10289582.855000
COLEGIO PEDRO II;RJ;55765666.680000;10385135.000000;66150801.680000;42260126.928900;8180165.999000
INSTITUTO FEDERAL BAIANO;BA;59112368.180000;16391524.480000;75503892.660000;56745402.460500;16391524.484000
INSTITUTO FEDERAL CATARINENSE;SC;55924364.820000;15468660.000000;71393024.820000;54477777.961700;14711026.325000
INSTITUTO FEDERAL DA BAHIA;BA;74191374.180000;23087435.740000;97278809.920000;73205758.102770;23087435.740000
INSTITUTO FEDERAL DA PARAIBA;PB;54377898.870000;18224119.530000;72602018.400000;51768773.739020;18224119.529000
INSTITUTO FEDERAL DE ALAGOAS;AL;60834251.170000;15272930.620000;76107181.790000;59036169.674760;15272930.618000
INSTITUTO FEDERAL DE BRASILIA;DF;41282359.210000;10073385.630000;51355744.840000;41233087.180240;10073385.632000
INSTITUTO FEDERAL DE GOIAS;GO;46468732.560000;11620521.000000;58089253.560000;46468732.559610;10443439.852000
INSTITUTO FEDERAL DE MATO GROSSO;MT;79305940.960000;24169375.680000;103475316.640000;79305940.964600;24169375.682000
INSTITUTO FEDERAL DE MATO GROSSO DO SUL;MS;47200714.730000;9765357.765000;56966072.495000;47200714.732380;9765357.765300
INSTITUTO FEDERAL DE MINAS GERAIS;MG;63669135.300000;17615707.240000;81284842.540000;63669135.304800;17615707.240000
INSTITUTO FEDERAL DE PERNAMBUCO;PE;64162032.080000;17658824.000000;81820856.080000;55202468.961610;16509179.592000
INSTITUTO FEDERAL DE RONDONIA;RO;44151218.040000;12999050.670000;57150268.710000;44151218.034600;12999050.672000
INSTITUTO FEDERAL DE RORAIMA;RR;19114485.590000;5217681.000000;24332166.590000;15766124.600000;4771704.989000
INSTITUTO FEDERAL DE SANTA CATARINA;SC;72070474.660000;19560018.060000;91630492.720000;72070474.660170;19560018.063000
INSTITUTO FEDERAL DE SAO PAULO;SP;133901842.700000;34507619.210000;168409461.910000;133901842.741130;34507619.209000
INSTITUTO FEDERAL DE SERGIPE;SE;32612138.060000;7968673.657000;40580811.717000;28299503.401380;7968673.657400
INSTITUTO FEDERAL DE TOCANTINS;TO;43710495.670000;12237293.530000;55947789.200000;43710495.665020;12237293.533000
INSTITUTO FEDERAL DO ACRE;AC;22385889.800000;4925966.227000;27311856.027000;20339443.258000;4925966.226700
INSTITUTO FEDERAL DO AMAPA;AP;25876763.910000;7011031.205000;32887795.115000;25876763.911820;7011031.204600
INSTITUTO FEDERAL DO AMAZONAS;AM;63055034.100000;18329018.520000;81384052.620000;63055034.096200;18329018.520000
INSTITUTO FEDERAL DO CEARA;CE;108433084.200000;33381792.430000;141814876.630000;108433084.223930;33381792.426000
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;81509377.230000;22083822.000000;103593199.230000;81509377.232760;20218624.590000
INSTITUTO FEDERAL DO MARANHAO;MA;105069153.200000;33199847.540000;138269000.740000;101445460.296200;33199847.540000
INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;MG;45785863.810000;14043348.000000;59829211.810000;45785863.806700;11404826.350000
INSTITUTO FEDERAL DO PARANA;PR;67633377.070000;17600418.910000;85233795.980000;67633377.073870;17600418.908000
INSTITUTO FEDERAL DO PARÁ;PA;73725894.800000;24225903.790000;97951798.590000;73725894.804020;24225903.790000
INSTITUTO FEDERAL DO PIAUI;PI;80214469.090000;25578139.610000;105792608.700000;80214469.089900;25578139.607000
INSTITUTO FEDERAL DO RIO DE JANEIRO;RJ;46522691.360000;10043669.730000;56566361.090000;46522691.361270;10043669.732000
INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;RN;76010291.180000;25990509.680000;102000800.860000;76010291.182500;25990509.679000
INSTITUTO FEDERAL DO RIO GRANDE DO SUL;RS;76362808.560000;15287339.000000;91650147.560000;65634198.020530;13947553.882000
INSTITUTO FEDERAL DO SERTAO PARAIBANO;PB;26335049.590000;8440093.590000;34775143.180000;26335049.589710;8440093.590000
INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;PE;30569530.550000;8516018.557000;39085549.107000;30531072.047150;8516018.556500
INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS;MG;39865778.180000;9642803.221000;49508581.401000;34702655.466600;9642803.220800
INSTITUTO FEDERAL DO SUL MINAS GERAIS;MG;64853509.270000;17202871.270000;82056380.540000;64853509.268900;17202871.270000
INSTITUTO FEDERAL DO TRIANGULO MINEIRO;MG;36550349.500000;7114009.000000;43664358.500000;36550349.504800;5161732.354700
INSTITUTO FEDERAL FARROUPILHA;RS;45149602.180000;14699070.180000;59848672.360000;45149602.183580;14699070.180000
INSTITUTO FEDERAL FLUMINENSE;RJ;52729496.720000;14583479.720000;67312976.440000;51889900.953000;14583479.722000
INSTITUTO FEDERAL GOIANO;GO;52657711.970000;13981747.000000;66639458.970000;50622722.100650;13854239.428000
INSTITUTO FEDERAL SUL-RIO-GRANDENSE;RS;51176787.420000;15965746.410000;67142533.830000;51176787.418760;15965746.406000
