Sigla;Instituicao;UF;RAPP
IFAC;INSTITUTO FEDERAL DO ACRE;AC;19.84173573573574
IFAL;INSTITUTO FEDERAL DE ALAGOAS;AL;18.98394300952999
IFAM;INSTITUTO FEDERAL DO AMAZONAS;AM;22.14320210876168
IFAP;INSTITUTO FEDERAL DO AMAPA;AP;22.59485053380783
IFBAIANO;INSTITUTO FEDERAL BAIANO;BA;16.47239420122888
IFBA;INSTITUTO FEDERAL DA BAHIA;BA;17.91030889387145
IFCE;INSTITUTO FEDERAL DO CEARA;CE;25.56442781415653
IFB;INSTITUTO FEDERAL DE BRASILIA;DF;24.63924095117845
IFES;INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;18.14786620904265
IFG;INSTITUTO FEDERAL DE GOIAS;GO;15.090377627299643
IFGOIANO;INSTITUTO FEDERAL GOIANO;GO;22.45485101982599
IFMA;INSTITUTO FEDERAL DO MARANHAO;MA;21.95727390105434
CEFET-MG;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;21.47449698741804
IFMG;INSTITUTO FEDERAL DE MINAS GERAIS;MG;20.76492009075908
IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;MG;21.62318570626904
IFSUDESTE-MG;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS;MG;21.83194069631851
IFSULDEMINAS;INSTITUTO FEDERAL DO SUL MINAS GERAIS;MG;21.56674915540541
IFTM;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;MG;17.85305159079785
IFMS;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;MS;21.77264129554656
IFMT;INSTITUTO FEDERAL DE MATO GROSSO;MT;21.61846696696696
IFPA;INSTITUTO FEDERAL DO PARÁ;PA;17.80922764227643
IFPB;INSTITUTO FEDERAL DA PARAIBA;PB;23.73529765675764
IFPE;INSTITUTO FEDERAL DE PERNAMBUCO;PE;22.19323014189412
IFSERTAO-PE;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;PE;20.84187756625606
IFPI;INSTITUTO FEDERAL DO PIAUI;PI;20.42040402292219
IFPR;INSTITUTO FEDERAL DO PARANA;PR;17.89726745848455
CEFET-RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;RJ;22.44324601792739
CPII;COLEGIO PEDRO II;RJ;15.44549106054449
IFRJ;INSTITUTO FEDERAL DO RIO DE JANEIRO;RJ;18.12267225407443
IFF;INSTITUTO FEDERAL FLUMINENSE;RJ;20.69665375626514
IFRN;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;RN;22.54742301119837
IFRO;INSTITUTO FEDERAL DE RONDONIA;RO;18.08688704806817
IFRR;INSTITUTO FEDERAL DE RORAIMA;RR;15.19500727404982
IFRS;INSTITUTO FEDERAL DO RIO GRANDE DO SUL;RS;21.077618821920392
IFFARROUPILHA;INSTITUTO FEDERAL FARROUPILHA;RS;16.94521928471763
IFSUL;INSTITUTO FEDERAL SUL-RIO-GRANDENSE;RS;18.03215066469719
IFC;INSTITUTO FEDERAL CATARINENSE;SC;18.44796348348348
IFSC;INSTITUTO FEDERAL DE SANTA CATARINA;SC;24.1601554212823
IFS;INSTITUTO FEDERAL DE SERGIPE;SE;23.15955336111111
IFSP;INSTITUTO FEDERAL DE SAO PAULO;SP;20.72151599084717
IFTO;INSTITUTO FEDERAL DE TOCANTINS;TO;22.14154052540913
