UF;Instituicao_nome;sigla;Conclusao_Ciclo;Evasao_Ciclo;Retencao_Ciclo;Eficiencia_Academica;RAP_Presencial;MEqRAP_Pres;Professor_Equivalente;pctME_Tecnicos;pctME_FormProf;pctME_Proeja
AC;INSTITUTO FEDERAL DO ACRE;IFAC;0,34108076699593;0,47937245787333;0,17954677513074;0,4157223796034;19,84173573573574;6974,370111111111;351,5;0,5898421647154;0,19950860526821;0,0076155927723659
AL;INSTITUTO FEDERAL DE ALAGOAS;IFAL;0,49131513647643;0,40865384615385;0,10003101736973;0,54592452179907;18,98394300952999;19477,525527777776;1026,0;0,68174140725577;0,070721816092586;0,03177678900447
AM;INSTITUTO FEDERAL DO AMAZONAS;IFAM;0,4076050700467;0,30820547031354;0,28418945963976;0,56943150046598;22,14320210876168;21467,834444444445;969,5;0,71785250703045;0,056955163774271;0,043968219663873
AP;INSTITUTO FEDERAL DO AMAPA;IFAP;0,37428896473265;0,46814562002275;0,1575654152446;0,4442943956786;22,59485053380783;6349,153;281,0;0,53751784063651;0,16726552153234;0,042464643751598
BA;INSTITUTO FEDERAL BAIANO;IFBAIANO;0,31397306397306;0,53703703703704;0,1489898989899;0,36894164193867;16,47239420122888;14298,038166666664;868,0;0,76192066290985;0,27728177367843;0,016765108450374
BA;INSTITUTO FEDERAL DA BAHIA;IFBA;0,26701701701702;0,45645645645646;0,27652652652653;0,36907644413698;17,91030889387145;29954,991624999995;1672,5;0,59886047697935;0,10558207913053;0,006319958405741
CE;INSTITUTO FEDERAL DO CEARA;IFCE;0,28159538683325;0,54156655454109;0,17683805862566;0,3420899007589;25,56442781415653;54656,74666666666;2138,0;0,43000837541663;0,22605189868365;0,0041199752693111
DF;INSTITUTO FEDERAL DE BRASILIA;IFB;0,25978890023834;0,59550561797753;0,14470548178413;0,30374203821656;24,63924095117845;17888,088930555557;726,0;0,52324984230576;0,18543401924118;0,023341727136819
ES;INSTITUTO FEDERAL DO ESPIRITO SANTO;IFES;0,4618070400456;0,47962092062135;0,058572039333048;0,49053890402664;18,14786620904265;27539,386972222223;1517,5;0,44034407708435;0,12064808820905;0,018599502905048
GO;INSTITUTO FEDERAL DE GOIAS;IFG;0,30116606353036;0,53437876960193;0,16445516686771;0,3604427333975;15,090377627299643;17270,937194444443;1144,5;0,38633218494585;0,20664157320138;0,10424971361886
GO;INSTITUTO FEDERAL GOIANO;IFGOIANO;0,32934266997967;0,42014908515925;0,25050824486108;0,43942133815552;22,45485101982599;17492,328944444445;779,0;0,34637277405501;0,14581919300367;0,001470594284633
MA;INSTITUTO FEDERAL DO MARANHAO;IFMA;0,35869996036465;0,33719778042013;0,30410225921522;0,51544923821729;21,95727390105434;37601,83155555556;1712,5;0,62017409381761;0,14333756520723;0,041080063219014
MG;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET-MG;0,41668754698071;0,38311200200451;0,20020045101478;0,52098997493734;21,47449698741804;20196,764416666665;940,5;0,0;0,0;0,0
MG;INSTITUTO FEDERAL DE MINAS GERAIS;IFMG;0,39455906518167;0,45919298886252;0,14624794595582;0,46214713430282;20,76492009075908;20972,569291666667;1010,0;0,45566377648266;0,10520732255147;0,0
MG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;IFNMG;0,35580389329488;0,4689978370584;0,17519826964672;0,43138111888112;21,62318570626904;14984,867694444443;693,0;0,55979618435226;0,11519672394955;0,014760397251079
MG;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS;IFSUDESTE-MG;0,39431704885344;0,40428713858425;0,20139581256231;0,49375780274657;21,83194069631851;14561,904444444448;667,0;0,53479699952137;0,11258791282082;0,007620200921172
MG;INSTITUTO FEDERAL DO SUL MINAS GERAIS;IFSULDEMINAS;0,48737056793222;0,33817069344211;0,17445873862567;0,59036488027366;21,56674915540541;12767,5155;592,0;0,53284549789887;0,17332056911215;0,016897551702807
MG;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;IFTM;0,45251572327044;0,43270440251572;0,11477987421384;0,51119005328597;17,85305159079785;10131,60677777778;567,5;0,51746593308054;0,062926914273163;0,0030549953621431
MS;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;IFMS;0,35553021664766;0,46773090079818;0,17673888255416;0,43185595567867;21,77264129554656;13444,606;617,5;0,4928674485031;0,13140262626853;0,029306680704628
MT;INSTITUTO FEDERAL DE MATO GROSSO;IFMT;0,40630615912433;0,43505963077928;0,15863421009639;0,48291262135922;21,61846696696696;23996,49833333333;1110,0;0,49934980801285;0,10016634387632;0,0041008995390959
PA;INSTITUTO FEDERAL DO PARÁ;IFPA;0,41124837451235;0,47090377113134;0,11784785435631;0,46618758061544;17,80922764227643;25556,24166666667;1435,0;0,61085750497023;0,16350733176316;0,019264195257108
PB;INSTITUTO FEDERAL DA PARAIBA;IFPB;0,34888516561413;0,49284701636809;0,15826781801779;0,41448476496708;23,73529765675764;32469,887194444447;1368,0;0,50905189526531;0,14291385936033;0,013116466292092
PE;INSTITUTO FEDERAL DE PERNAMBUCO;IFPE;0,28313005344662;0,56667123475401;0,15019871179937;0,33317206902113;22,19323014189412;26154,721722222217;1178,5;0,64401955575319;0,058234471978676;0,010096890138503
PE;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;IFSERTAO-PE;0,33645096056623;0,55055611729019;0,11299292214358;0,37931034482759;20,84187756625606;9305,898333333333;446,5;0,50084088018511;0,22887456136318;0,045686227187055
PI;INSTITUTO FEDERAL DO PIAUI;IFPI;0,45055739058629;0,49360033030553;0,055842279108175;0,47720564119383;20,42040402292219;29497,273611111108;1444,5;0,5691004442404;0,14302820588842;0,034409324414809
PR;INSTITUTO FEDERAL DO PARANA;IFPR;0,34802701741913;0,45538570920725;0,19658727337362;0,43318584070796;17,89726745848455;27123,308833333336;1515,5;0,5674455752667;0,13249576632079;0,0016368016914833
RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET-RJ;0,20417570498915;0,38394793926247;0,41187635574837;0,34716459197787;22,44324601792739;19334,85644444445;861,5;0,0;0,0;0,0
RJ;COLEGIO PEDRO II;CPII;0,62188515709642;0,19257854821235;0,18553629469122;0,76355171267044;15,44549106054449;19005,67675;1230,5;0,0;0,0;0,0
